iter	RMSE
0	0.5852821852
1	0.5508696427
2	0.5206999912
3	0.4953213786
4	0.4704397508
5	0.4477521155
6	0.4271968219
7	0.4098414053
8	0.3940985615
9	0.3778248518
10	0.3654440862
11	0.3533926548
12	0.3421665509
13	0.331518706
14	0.3221100911
15	0.3132548567
16	0.3050365113
17	0.2999480267
18	0.2946136847
19	0.2879021493
20	0.2824459827
21	0.2777565777
22	0.2725016278
23	0.2691067075
24	0.265624095
25	0.2616953543
26	0.2580808228
27	0.255080724
28	0.2524751164
29	0.2501807428
30	0.2476106045
31	0.2440017079
32	0.2423355502
33	0.2400291143
34	0.237454438
35	0.2356841862
36	0.2337247541
37	0.2319142517
38	0.2299869284
39	0.2284131291
40	0.2269434863
41	0.2258039629
42	0.2246377468
43	0.2232752908
44	0.2223027004
45	0.2212374688
46	0.2197978971
47	0.2187835644
48	0.2174133643
49	0.2162279302
50	0.2154228215
51	0.214679296
52	0.2139844738
53	0.2130741463
54	0.2118309543
55	0.2111754506
56	0.2104986913
57	0.2095676435
58	0.2088078836
59	0.2078731664
60	0.2073487394
61	0.206157726
62	0.2052100684
63	0.2044955194
64	0.2036556046
65	0.2031966147
66	0.2022718945
67	0.2010670044
68	0.2002491831
69	0.1996949927
70	0.1990578838
71	0.1985026362
72	0.1979231943
73	0.1975687385
74	0.1966239516
75	0.1957870106
76	0.1952447376
77	0.1949055761
78	0.1942334882
79	0.1936229149
80	0.193520379
81	0.1928255081
82	0.192360308
83	0.192130933
84	0.1918636279
85	0.1914917736
86	0.1914157116
87	0.1913411612
88	0.1903627509
89	0.1899032633
90	0.1891149394
91	0.1883105244
92	0.1876397503
93	0.1870888339
94	0.1863466283
95	0.1862734868
96	0.1862030235
97	0.1861350803
98	0.1860662774
99	0.1859593172
100	0.1854408656
101	0.1853829953
102	0.1853099475
103	0.1847265303
104	0.1846715656
105	0.1846187657
106	0.1834634172
107	0.1829108279
108	0.1822297262
109	0.1817536546
110	0.1817011713
111	0.1813378083
112	0.181102885
113	0.1810500803
114	0.1810043175
115	0.1801385252
116	0.1796158523
117	0.1790941433
118	0.1785780379
119	0.1785328444
120	0.1778475824
121	0.1772351046
122	0.1771887868
123	0.1765200968
124	0.1764771786
125	0.1764352393
126	0.1760802675
127	0.1760377494
128	0.1755455049
129	0.1755070365
130	0.1754162451
131	0.1751434626
132	0.175106437
133	0.175071123
134	0.1746483196
135	0.1739646005
136	0.1739064682
137	0.1733179137
138	0.1732845082
139	0.1728406301
140	0.1723539599
141	0.1717914008
142	0.1713733619
143	0.1706105672
144	0.1705615365
145	0.169624597
146	0.1695772777
147	0.1694951606
148	0.1689553058
149	0.1683124748
150	0.1679187915
151	0.1678900926
152	0.1678625177
153	0.1673956458
154	0.1667998191
155	0.166233167
156	0.1657032143
157	0.1656719117
158	0.1652136406
159	0.1647478503
160	0.1641990049
