iter	Passed	Remaining
0	1	1223
1	2	1262
2	3	1276
3	4	1356
4	5	1333
5	6	1305
6	7	1289
7	8	1272
8	9	1240
9	10	1214
10	11	1223
11	12	1194
12	12	1177
13	13	1158
14	14	1143
15	15	1130
16	16	1116
17	17	1122
18	17	1117
19	18	1116
20	19	1107
21	20	1100
22	21	1090
23	22	1082
24	22	1074
25	24	1084
26	24	1075
27	25	1067
28	26	1064
29	27	1059
30	27	1054
31	28	1053
32	29	1053
33	30	1054
34	31	1049
35	32	1043
36	33	1041
37	33	1035
38	34	1031
39	35	1027
40	36	1032
41	37	1027
42	38	1026
43	38	1021
44	39	1019
45	40	1015
46	41	1011
47	42	1008
48	43	1015
49	43	1011
50	44	1010
51	45	1007
52	46	1007
53	47	1005
54	48	1003
55	49	1007
56	50	1009
57	51	1008
58	52	1008
59	52	1006
60	53	1006
61	54	1003
62	55	1007
63	56	1005
64	57	1003
65	58	1000
66	59	998
67	59	996
68	60	994
69	61	994
70	62	996
71	63	993
72	64	992
73	65	990
74	65	988
75	66	986
76	67	984
77	68	987
78	69	986
79	70	985
80	71	982
81	71	981
82	72	979
83	73	977
84	74	976
85	75	975
86	76	975
87	77	973
88	77	973
89	78	972
90	79	970
91	80	970
92	81	970
93	82	968
94	83	967
95	83	964
96	84	961
97	85	958
98	86	956
99	86	954
100	87	954
101	88	951
102	89	950
103	90	948
104	91	953
105	92	952
106	92	949
107	93	949
108	94	947
109	95	945
110	96	945
111	97	943
112	97	942
113	98	940
114	99	938
115	100	936
116	101	935
117	101	934
118	102	932
119	103	930
120	104	927
121	104	926
122	105	924
123	106	927
124	107	925
125	108	923
126	109	921
127	109	920
128	110	919
129	111	917
130	112	917
131	113	916
132	114	915
133	114	914
134	115	912
135	116	910
136	117	909
137	117	907
138	118	907
139	119	906
140	120	904
141	121	903
142	122	902
143	122	901
144	123	899
145	124	897
146	125	896
147	125	895
148	126	894
149	127	893
150	128	891
151	129	890
152	129	888
153	130	886
154	131	885
155	132	884
156	132	882
157	133	881
158	134	879
159	135	878
160	135	876
161	136	875
162	137	873
163	138	872
164	138	871
165	139	870
166	140	869
167	141	867
168	141	866
169	142	864
170	143	863
171	144	861
172	145	861
173	145	859
174	146	859
175	147	858
176	148	856
177	149	857
178	150	857
179	151	858
180	152	857
181	153	857
182	154	856
183	154	855
184	155	854
185	156	853
186	158	856
187	159	856
188	160	855
189	160	854
190	161	853
191	162	851
192	162	850
193	163	849
194	164	848
195	165	847
196	166	845
197	166	844
198	167	843
199	168	842
200	169	841
201	170	840
202	170	838
203	171	836
204	172	835
205	172	833
206	173	832
207	174	830
208	174	829
209	175	828
210	176	827
211	177	827
212	178	826
213	179	825
214	179	824
215	180	823
216	181	822
217	182	821
218	183	819
219	183	818
220	184	817
221	185	817
222	186	816
223	186	814
224	187	812
225	188	811
226	189	810
227	189	809
228	190	809
229	191	808
230	192	807
231	193	806
232	194	805
233	194	804
234	195	804
235	196	802
236	197	801
237	197	800
238	198	798
239	199	797
240	200	796
241	200	795
242	201	794
243	202	793
244	203	792
245	204	791
246	204	790
247	205	789
248	206	788
249	207	786
250	207	785
251	208	784
252	209	783
253	210	782
254	210	781
255	211	780
256	212	779
257	213	778
258	213	777
259	214	776
260	215	775
261	216	774
262	217	773
263	217	771
264	218	770
265	219	769
266	219	768
267	220	766
268	221	766
269	222	765
270	222	763
271	223	762
272	224	762
273	225	761
274	225	759
275	226	759
276	227	758
277	228	757
278	229	756
279	229	755
280	230	754
281	231	753
282	232	752
283	232	751
284	233	750
285	234	749
286	235	748
287	236	747
288	237	747
289	237	746
290	238	744
291	239	743
292	239	742
293	240	741
294	241	740
295	242	739
296	242	738
297	243	737
298	244	736
299	245	735
300	246	734
301	246	733
302	247	732
303	248	731
304	249	730
